player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Famouz,PSJ,"raze,chamber,skye",562,236.6,1.10,75,156.4,0.80,0.24,0.10,0.08,18,21
sScary,XIA,"astra,viper,brimstone",745,236.6,1.30,78,153.2,0.81,0.41,0.09,0.07,23,19
jcrueL,COL,"jett,chamber",934,236.5,1.33,74,146.2,0.86,0.13,0.16,0.08,16,12
xuss,AM,"raze,jett,skye",786,236.4,1.14,70,153.1,0.84,0.19,0.15,0.15,25,15
Feniz,EXL,"kayo,viper,cypher",260,236.4,1.40,79,152.6,0.85,0.33,0.10,0.07,28,12
Quick,FUR,"jett,chamber",341,236.3,1.10,66,150.7,0.84,0.13,0.21,0.16,31,15
Nanners,TB,"killjoy,raze,viper",754,236.2,1.17,72,156.3,0.80,0.22,0.11,0.12,22,17
oitaN,IGZ,"killjoy,chamber,viper",284,236.0,1.18,70,152.3,0.82,0.20,0.15,0.12,26,9
xand,NIP,"raze,jett,skye",613,236.0,1.10,66,146.0,0.83,0.16,0.16,0.16,22,11
BrinkssJ,Trop,"raze,chamber,brimstone",482,235.9,1.12,75,152.8,0.79,0.32,0.13,0.08,17,13
Critical,Clan,"jett,sova,skye",535,235.8,1.18,76,157.8,0.81,0.39,0.08,0.08,24,12
Krysme,BCG,"raze,jett",519,235.6,1.13,70,153.6,0.82,0.21,0.15,0.16,22,18
poiz,C9A,"raze,jett,neon",233,235.4,1.08,67,155.2,0.83,0.16,0.15,0.16,30,38
kirei,BAL,"killjoy,chamber,cypher",645,235.0,1.28,72,153.8,0.84,0.16,0.09,0.07,25,15
KILLDREAM,SHK,"astra,viper,brimstone",267,235.0,1.14,76,154.2,0.78,0.41,0.08,0.08,24,13
Guardy,BTS,"raze,breach,kayo",393,234.8,1.16,75,155.4,0.81,0.30,0.12,0.07,31,14
bungee,CLG,"raze,jett",580,234.6,1.10,72,150.5,0.83,0.16,0.21,0.15,25,17
draystar,draystar,"sage,sova,breach",332,234.5,1.27,78,149.5,0.80,0.35,0.08,0.05,25,12
dynamic,The,"jett,chamber,skye",564,234.5,1.22,71,146.3,0.84,0.15,0.17,0.16,25,13
Syouta,CGV,"raze,astra,viper",254,234.4,1.06,76,153.7,0.78,0.37,0.13,0.12,27,27
GianSanity,AE,"neon,chamber,cypher",250,234.3,1.23,72,153.1,0.82,0.20,0.13,0.07,22,9
Zanatsu1,ROLO,"sova,kayo",215,234.2,1.11,73,146.7,0.77,0.37,0.11,0.09,26,13
instinct,TMA,"kayo,omen,skye",334,234.1,1.18,77,149.0,0.88,0.28,0.08,0.07,20,7
Boostio,EG,"jett,chamber",226,234.0,1.06,70,155.8,0.82,0.23,0.12,0.19,30,9
NiSMO,Ghost,"raze,kayo,skye",453,234.0,1.33,79,152.6,0.81,0.45,0.10,0.10,25,15
theia,DIG,"killjoy,chamber,cypher",556,233.9,1.22,72,149.7,0.84,0.19,0.13,0.12,23,17
Slacherj,SG,"raze,sova,chamber",202,233.9,0.99,64,156.9,0.80,0.21,0.09,0.11,24,7
Lilo,Lilo,"jett,chamber,skye",371,233.8,1.06,68,148.5,0.80,0.18,0.23,0.17,22,22
Alfajer,SUR,"killjoy,sage,viper",762,233.7,1.21,73,157.1,0.83,0.20,0.12,0.11,33,19
Okeanos,BAL,"jett,chamber",532,233.7,1.09,65,150.7,0.84,0.15,0.21,0.14,31,11
IamKimyy,FG,"killjoy,sage,chamber",411,233.5,1.19,71,146.0,0.81,0.19,0.12,0.09,14,20
Sway,Coul,"jett,chamber,viper",565,233.4,1.04,66,149.7,0.79,0.21,0.16,0.18,21,14
Surf,XIA,"raze,jett",745,233.2,1.16,71,145.0,0.83,0.14,0.18,0.14,23,7
b2kk,NASR,"astra,viper",224,233.2,1.26,69,152.6,0.85,0.24,0.08,0.06,40,12
aimhunterr,GKE,jett,374,233.1,1.23,70,143.1,0.83,0.14,0.17,0.12,26,29
Tacolilla,LEV,"jett,skye",443,233.0,1.21,73,147.7,0.81,0.21,0.19,0.16,20,15
CeLLo,CeLLo,"raze,jett",225,232.4,0.97,68,148.4,0.76,0.15,0.17,0.16,25,10
