player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Ember,RNT,astra,193.8,1.10,74,120.9,0.72,0.28,0.05,0.07,29,23
ChAlalala,FS,astra,191.9,1.20,78,119.1,0.71,0.38,0.05,0.06,22,24
GOLD,DSP,astra,190.3,0.99,74,123.0,0.68,0.31,0.04,0.03,34,11
dephh,XSET,astra,190.1,0.94,69,123.3,0.66,0.26,0.09,0.08,26,7
wudiYuChEn,FPX.ZQ,astra,189.9,1.05,71,125.7,0.75,0.34,0.07,0.10,23,9
jcStani,GEN,astra,188.0,1.03,74,122.8,0.67,0.38,0.04,0.06,27,11
GatsH,RBLS,astra,185.9,1.09,72,123.4,0.68,0.24,0.08,0.12,22,19
Lok1,CES,astra,182.8,0.93,72,119.3,0.62,0.35,0.05,0.05,26,15
Jlerst,SUR,astra,182.0,0.96,75,122.4,0.66,0.37,0.08,0.06,28,12
Haodong,EDG,astra,179.2,1.01,72,116.7,0.67,0.32,0.06,0.07,27,22
kasper,GKE,astra,177.3,0.99,76,118.4,0.64,0.39,0.05,0.07,30,27
Ebeeee,Ebeeee,astra,176.4,0.85,71,107.0,0.61,0.32,0.06,0.06,25,13
ICEKING,ICEKING,astra,175.2,1.03,76,120.3,0.66,0.34,0.08,0.06,25,19
Bgg,WAVE,astra,174.7,0.84,75,106.7,0.57,0.40,0.07,0.05,26,11
Exequies,SAF,astra,173.8,0.88,78,109.9,0.61,0.50,0.06,0.07,24,16
Krumszz,SCY,astra,170.8,0.83,65,111.7,0.62,0.29,0.06,0.05,30,5
Yuk1no,Toe,astra,168.3,0.86,66,120.2,0.60,0.31,0.05,0.09,32,16
Jeong,DK,astra,167.3,0.84,73,113.1,0.57,0.34,0.05,0.06,23,18
Delend,47,astra,166.9,0.89,70,107.9,0.61,0.32,0.05,0.09,32,18
GwangUh,MARU,astra,163.1,0.84,68,107.0,0.58,0.35,0.05,0.03,29,12
