player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
kazz,AIM,astra,871,180.0,0.91,70,119.5,0.64,0.32,0.04,0.05,28,12
Bill,AR,astra,212,180.0,1.00,,111.6,0.65,0.19,0.08,0.13,21,27
Hydrangae,Hydrangae,astra,302,179.9,0.90,69,116.8,0.66,0.22,0.04,0.05,21,4
Tak1,KG,astra,1197,179.9,0.86,72,115.7,0.63,0.39,0.06,0.09,18,15
focus,Balk,astra,407,179.9,0.78,70,122.9,0.61,0.29,0.08,0.08,25,7
Nick,DNAD,astra,3552,179.7,0.96,72,118.5,0.66,0.37,0.05,0.06,26,13
Rias,MRS,astra,2985,179.7,0.93,68,125.0,0.61,0.37,0.05,0.07,26,14
Loki,Loki,astra,357,179.6,0.86,71,117.7,0.66,0.34,0.07,0.14,18,34
crN,YTX,astra,208,179.6,0.92,65,115.8,0.64,0.30,0.05,0.04,21,15
soju,MF,astra,342,179.6,0.92,71,116.2,0.63,0.29,0.07,0.08,24,11
Suave,CLR,astra,1483,179.2,0.79,70,120.1,0.60,0.30,0.07,0.09,26,13
Phlux,NFC,astra,207,179.2,0.85,,133.0,0.62,0.21,0.06,0.09,24,9
kalvinn,kalvinn,astra,271,179.1,0.76,,120.6,0.60,0.19,0.06,0.07,29,18
Starryy,Roul,astra,1277,179.1,0.79,65,121.6,0.61,0.28,0.07,0.12,18,11
smiley,smiley,astra,1178,178.9,0.81,66,117.7,0.65,0.29,0.08,0.11,25,14
PlayMaker,SW,astra,447,178.8,0.78,74,116.9,0.62,0.31,0.09,0.09,26,7
micr0,micr0,astra,990,178.8,0.92,71,118.4,0.63,0.33,0.06,0.07,21,18
Deh9,PURP,astra,362,178.7,0.88,64,121.6,0.65,0.19,0.06,0.09,23,11
regga,regga,astra,614,178.6,0.78,63,118.2,0.62,0.30,0.06,0.12,15,12
Lover,Lover,astra,293,178.5,0.93,67,112.8,0.67,0.18,0.08,0.06,32,25
Adenina,Adenina,astra,259,178.5,0.90,71,122.0,0.66,0.29,0.06,0.10,18,13
mamichan,mamichan,astra,461,178.3,0.81,71,125.5,0.63,0.28,0.08,0.10,21,15
starlight,starlight,astra,233,178.1,0.72,60,128.2,0.60,0.18,0.11,0.15,23,
